id;usuario_id;empresa_id;meal_type;nutrient;start_time;end_time
e43ce064-317f-46da-8bec-62c1f9ede924;deposit calculating;Arroyo;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-03-24T01:34:34;2023-03-23T22:24:10
b69b2bb8-62d0-4b7f-9312-6277804033ea;Diverso Fiji;definición Account next-generation;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-03-24T01:22:33;2023-03-23T20:44:59
e50dacca-da0d-4fae-a5bd-fae4eb55a27b;hack Oficial;Videojuegos Silla Senior;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-03-24T09:39:18;2023-03-24T07:25:47
700a2e09-d56a-46d1-b070-894b4fb242bc;Estonia aprovechar;recontextualize;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-03-23T21:28:05;2023-03-23T16:14:33
9ccdaed2-b2c9-4ae9-b1b9-fe2fbbd37e93;Futuro multi-byte Denar;Refinado;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-03-24T02:35:18;2023-03-24T04:36:51
df8ff492-4158-4984-a602-90dac9c70b47;Director redundant;Calidad Municipio;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-03-23T15:59:32;2023-03-24T01:51:53
28023f9c-d077-4dca-aac3-0ced50018d2c;benchmark Bedfordshire Ramal;Suriname Juguetería sticky;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-03-24T03:53:49;2023-03-23T20:19:59
65830c84-77ce-4d3f-bb25-8cba29840d52;Paseo Mascotas;reboot Ordenador;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-03-24T10:53:23;2023-03-24T05:22:49
40301654-813c-4cf3-a973-7647d14d2e0f;open-source Central;Loan end-to-end;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-03-24T10:40:11;2023-03-24T01:19:41
14bc984a-cfc8-40b5-b7ef-116e0bd03913;infrastructures Artesanal;paradigms;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-03-24T00:35:58;2023-03-24T08:54:16
