id;usuario_id;empresa_id;calorias;start_time;end_time
0f31c2bb-b603-47bd-9c72-510023b7684b;Prolongación Bermuda;Moldavia didactica efficient;56945;2023-03-23T18:39:43;2023-03-24T08:26:20
616fc48e-8518-40d9-90b6-072362acb344;Normas synthesize Sopa;Account;98662;2023-03-23T18:36:38;2023-03-23T15:19:46
3d217006-b3c0-4a43-879b-7238dd815a77;Relacciones Madera;Guapa;31033;2023-03-24T02:21:26;2023-03-24T09:12:30
7ae6d195-a27e-46dd-a31b-854e1dc2ad73;Senior;Guapa target online;8237;2023-03-24T08:34:36;2023-03-24T07:49:28
ae52dacb-d101-435c-8062-4f34b87787ed;Granito Azul Berkshire;Relacciones magnetic;1584;2023-03-24T02:00:23;2023-03-24T10:05:26
ca0b1a74-cf1b-4c62-9ffb-581da0d8c81b;back-end;Práctico Explanada Poblado;17599;2023-03-24T03:25:24;2023-03-24T09:25:23
1d7a320d-92cf-4df3-9fbc-803ecd967466;Toallas vortals;Metal Ejecutivo JBOD;50310;2023-03-24T01:28:55;2023-03-24T01:13:23
89376fbc-3f14-431f-9a54-ccf1b5feddd0;Bedfordshire Niger Card;Ladrillo open-source;45409;2023-03-24T00:36:54;2023-03-24T00:04:37
0b54ef8f-795b-4e89-9235-ebabb9dcc938;RSS bluetooth;abierto users relationships;74091;2023-03-24T06:39:09;2023-03-23T19:38:31
c36c2df1-f759-477a-a691-acecb37c9c82;Ergonómico;backing deposit;81822;2023-03-23T23:32:47;2023-03-23T21:11:11
